type,route,file_path,component,issue,severity,fix
hardcoded-data,/api/auth/debug-callback,pages/api/auth/debug-callback.ts,handler,Component uses hardcoded data instead of API calls,Medium,Replace hardcoded data with API calls
hardcoded-data,/api/auth/test-config,pages/api/auth/test-config.ts,handler,Component uses hardcoded data instead of API calls,Medium,Replace hardcoded data with API calls
hardcoded-data,/api/auth/test-login,pages/api/auth/test-login.ts,handler,Component uses hardcoded data instead of API calls,Medium,Replace hardcoded data with API calls
hardcoded-data,/api/briefings/evening,pages/api/briefings/evening.ts,handler,Component uses hardcoded data instead of API calls,Medium,Replace hardcoded data with API calls
hardcoded-data,/api/briefings/morning,pages/api/briefings/morning.ts,handler,Component uses hardcoded data instead of API calls,Medium,Replace hardcoded data with API calls
hardcoded-data,/beta,pages/beta.tsx,BetaPage,Component uses hardcoded data instead of API calls,Medium,Replace hardcoded data with API calls
hardcoded-data,/dashboard/quality,pages/dashboard/quality.tsx,QualityDashboard,Component uses hardcoded data instead of API calls,Medium,Replace hardcoded data with API calls
blank-component,/dashboard,pages/dashboard.tsx,Dashboard,Component renders no content,High,Add content or loading states
hardcoded-data,/dashboard,pages/dashboard.tsx,Dashboard,Component uses hardcoded data instead of API calls,Medium,Replace hardcoded data with API calls
no-data-handling,/polish,pages/polish.tsx,PolishPage,Component has no data fetching or state management,Medium,Add data fetching hooks or state management
unused-imports,,src/components/MASTER_FEATURES_INDEX.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/advanced/AIPoweredBusinessIntelligence.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/advanced/AdvancedCollaborationTools.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/advanced/AdvancedDataManagement.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/advanced/AdvancedWorkflowAutomation.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
