type,file,line,issue,severity,fix
unhandled-fetch,src/app/contact/page.tsx,35,Fetch call without error handling,Medium,Add try/catch or .catch() handler
unhandled-fetch,src/components/ObservabilityDashboard.tsx,35,Fetch call without error handling,Medium,Add try/catch or .catch() handler
unhandled-fetch,src/components/api/ApiV2Release.tsx,72,Fetch call without error handling,Medium,Add try/catch or .catch() handler
unhandled-fetch,src/components/api/ApiV2Release.tsx,136,Fetch call without error handling,Medium,Add try/catch or .catch() handler
unhandled-fetch,src/components/api/ApiV2Release.tsx,226,Fetch call without error handling,Medium,Add try/catch or .catch() handler
unhandled-fetch,src/components/marketplace/DeveloperPortal.tsx,183,Fetch call without error handling,Medium,Add try/catch or .catch() handler
unhandled-fetch,src/components/marketplace/DeveloperPortal.tsx,280,Fetch call without error handling,Medium,Add try/catch or .catch() handler
unhandled-fetch,src/components/ui/AICoach.tsx,36,Fetch call without error handling,Medium,Add try/catch or .catch() handler
unhandled-fetch,src/components/ui/BackendStatusIndicator.tsx,17,Fetch call without error handling,Medium,Add try/catch or .catch() handler
unhandled-fetch,src/components/ui/CalendarIntegration.tsx,42,Fetch call without error handling,Medium,Add try/catch or .catch() handler
unhandled-fetch,src/components/ui/DailyPlanning.tsx,55,Fetch call without error handling,Medium,Add try/catch or .catch() handler
unhandled-fetch,src/components/ui/EmailSettings.tsx,40,Fetch call without error handling,Medium,Add try/catch or .catch() handler
unhandled-fetch,src/components/ui/EmailSettings.tsx,48,Fetch call without error handling,Medium,Add try/catch or .catch() handler
unhandled-fetch,src/components/ui/EmailSettings.tsx,76,Fetch call without error handling,Medium,Add try/catch or .catch() handler
unhandled-fetch,src/components/ui/EmailSettings.tsx,84,Fetch call without error handling,Medium,Add try/catch or .catch() handler
unhandled-fetch,src/components/ui/EmailSettings.tsx,120,Fetch call without error handling,Medium,Add try/catch or .catch() handler
unhandled-fetch,src/components/ui/EmailSettings.tsx,128,Fetch call without error handling,Medium,Add try/catch or .catch() handler
unhandled-fetch,src/components/ui/MeetingNotes.tsx,43,Fetch call without error handling,Medium,Add try/catch or .catch() handler
unhandled-fetch,src/data/adapters/analytics.adapter.ts,24,Fetch call without error handling,Medium,Add try/catch or .catch() handler
